Number,Type,Name,Registration Point,Filename
317,bitmap,30076,"(210, 142)",
318,bitmap,30077,"(192, 137)",
319,bitmap,30078,"(210, 142)",
320,bitmap,30079,"(210, 142)",
321,bitmap,30080,"(192, 137)",
322,bitmap,30081,"(210, 142)",
323,bitmap,30082,"(192, 137)",
324,bitmap,30083,"(192, 137)",
325,bitmap,30084,"(210, 142)",
326,bitmap,30085,"(210, 142)",
327,bitmap,30086,"(185, 137)",
328,bitmap,30087,"(210, 142)",
329,bitmap,30088,"(210, 142)",
330,bitmap,30089,"(210, 141)",
331,bitmap,30090,"(210, 142)",
332,bitmap,30091,"(210, 142)",
333,bitmap,30092,"(210, 142)",
334,bitmap,30093,"(210, 142)",
335,bitmap,30094,"(192, 137)",
336,bitmap,30096,"(210, 142)",
337,bitmap,30097,"(210, 142)",
338,bitmap,30098,"(210, 141)",
339,bitmap,30099,"(210, 141)",
340,bitmap,30100,"(209, 142)",
341,bitmap,30101,"(210, 142)",
342,bitmap,30102,"(202, 137)",
343,bitmap,30103,"(210, 142)",
344,bitmap,30104,"(210, 142)",
345,bitmap,30105,"(210, 142)",
346,bitmap,30106,"(192, 137)",
347,bitmap,30107,"(210, 142)",
348,bitmap,30108,"(210, 142)",
349,bitmap,4.01,"(50, 69)",
350,bitmap,4.02,"(50, 69)",
351,bitmap,4.03,"(50, 69)",
352,bitmap,4.05,"(50, 50)",
353,bitmap,4.06,"(50, 50)",
354,bitmap,4.07,"(50, 69)",
355,bitmap,4.08,"(50, 50)",
356,bitmap,4.09,"(50, 50)",
357,bitmap,4.12,"(50, 69)",
358,bitmap,4.14,"(50, 50)",
359,bitmap,4.15,"(50, 69)",
360,bitmap,4.16,"(50, 69)",
361,bitmap,4.17,"(50, 50)",
362,bitmap,4.18,"(50, 69)",
363,bitmap,4.19,"(50, 69)",
364,bitmap,4.20,"(50, 69)",
365,bitmap,4.27,"(50, 35)",
366,bitmap,4.28,"(50, 35)",
367,bitmap,4.29,"(50, 36)",
368,bitmap,4.30,"(50, 36)",
369,bitmap,4.31,"(60, 15)",
370,bitmap,4.31x,"(60, 15)",
371,bitmap,4.32,"(60, 15)",
372,bitmap,4.32x,"(60, 15)",
373,bitmap,4.33,"(60, 14)",
374,bitmap,4.34.1,"(60, 14)",
375,bitmap,4.34,"(60, 14)",
376,bitmap,4.34x,"(60, 15)",
377,bitmap,4.62,"(50, 37)",
378,bitmap,4.63,"(50, 50)",
379,bitmap,4.77.1,"(49, 49)",
380,bitmap,4.77.2,"(49, 49)",
381,bitmap,4.77,"(49, 49)",
382,bitmap,4.83,"(50, 69)",
383,bitmap,40001,"(213, 142)",
384,bitmap,40002,"(213, 142)",
385,bitmap,40003,"(212, 142)",
386,bitmap,40004,"(213, 142)",
387,bitmap,40005,"(213, 142)",
388,bitmap,40006,"(213, 142)",
389,bitmap,40007,"(205, 137)",
390,bitmap,40008,"(205, 137)",
391,bitmap,40009,"(213, 142)",
392,bitmap,40010,"(204, 137)",
393,bitmap,40011,"(214, 142)",
394,bitmap,40012,"(213, 142)",
395,bitmap,40013,"(213, 142)",
396,bitmap,40015,"(217, 142)",
397,bitmap,40016,"(213, 142)",
398,bitmap,40017,"(213, 142)",
399,bitmap,40019,"(204, 137)",
400,bitmap,40020,"(212, 142)",
401,bitmap,40022,"(213, 142)",
402,bitmap,40023,"(213, 142)",
403,bitmap,40024,"(214, 142)",
404,bitmap,40025,"(205, 137)",
405,bitmap,40026,"(213, 142)",
406,bitmap,40027,"(217, 142)",
407,bitmap,40028,"(213, 142)",
408,bitmap,40029,"(213, 142)",
409,bitmap,40030,"(212, 142)",
410,bitmap,40031,"(212, 142)",
411,bitmap,40032,"(213, 142)",
